team,group,ranking_points,seed_rating,matches_seen
Gozo,,1493.03,1493.03,7
Palestine,,1492.81,1492.81,75
Albania,,1492.56,1492.56,85
Székely Land,,1492.43,1492.43,13
Panjab,,1491.82,1491.82,9
Galicia,,1491.72,1491.72,1
Benin,,1490.31,1490.31,70
Somaliland,,1489.66,1489.66,1
Hitra,,1489.52,1489.52,7
Vatican City,,1489.0,1489.0,2
Puerto Rico,,1488.93,1488.93,46
West Papua,,1488.65,1488.65,2
Yoruba Nation,,1488.64,1488.64,2
Togo,,1487.4,1487.4,59
Hmong,,1487.05,1487.05,3
East Turkestan,,1486.91,1486.91,5
Kenya,,1485.91,1485.91,66
Greenland,,1485.43,1485.43,4
Madagascar,,1484.81,1484.81,73
Comoros,,1483.17,1483.17,86
Bosnia and Herzegovina,B,1481.63,1481.63,84
Trinidad and Tobago,,1481.25,1481.25,88
Kuwait,,1481.02,1481.02,89
Northern Ireland,,1480.99,1480.99,81
French Guiana,,1480.88,1480.88,34
Mozambique,,1480.22,1480.22,83
Kabylia,,1479.7,1479.7,6
Saint Vincent and the Grenadines,,1479.18,1479.18,58
Aymara,,1478.36,1478.36,2
Menorca,,1478.21,1478.21,4
Nicaragua,,1478.02,1478.02,75
Two Sicilies,,1477.78,1477.78,2
Fiji,,1477.71,1477.71,49
Ticino,,1477.37,1477.37,2
Eritrea,,1477.3,1477.3,2
Western Isles,,1475.66,1475.66,10
Philippines,,1471.34,1471.34,69
Vanuatu,,1470.58,1470.58,36
Falkland Islands,,1470.18,1470.18,4
Lebanon,,1470.0,1470.0,75
Marshall Islands,,1469.79,1469.79,2
Equatorial Guinea,,1468.06,1468.06,71
Åland Islands,,1467.5,1467.5,4
Rwanda,,1466.98,1466.98,55
Samoa,,1466.44,1466.44,17
Mauritania,,1463.55,1463.55,81
North Korea,,1463.48,1463.48,38
El Salvador,,1463.04,1463.04,102
Belarus,,1462.54,1462.54,83
Kyrgyzstan,,1462.38,1462.38,66
Sápmi,,1462.0,1462.0,6
Northern Mariana Islands,,1461.53,1461.53,9
Singapore,,1461.53,1461.53,78
Iceland,,1459.4,1459.4,103
Sierra Leone,,1459.18,1459.18,53
Barawa,,1458.62,1458.62,10
Hong Kong,,1458.25,1458.25,68
Sint Maarten,,1456.83,1456.83,35
Turkmenistan,,1456.52,1456.52,37
Saint Martin,,1455.88,1455.88,34
Martinique,,1454.7,1454.7,40
Solomon Islands,,1454.69,1454.69,44
Sudan,,1453.17,1453.17,74
Alderney,,1452.79,1452.79,7
Bolivia,,1451.4,1451.4,90
Finland,,1450.49,1450.49,92
Zimbabwe,,1449.58,1449.58,68
Chagos Islands,,1448.15,1448.15,5
Montenegro,,1446.64,1446.64,84
Botswana,,1446.05,1446.05,71
Frøya,,1445.47,1445.47,7
Cuba,,1444.62,1444.62,68
Niger,,1443.32,1443.32,68
Ethiopia,,1442.26,1442.26,59
Saint Kitts and Nevis,,1442.07,1442.07,56
Malawi,,1440.39,1440.39,81
Cook Islands,,1438.07,1438.07,10
Belize,,1436.15,1436.15,51
Saint Lucia,,1433.19,1433.19,39
Bermuda,,1432.84,1432.84,55
Montserrat,,1432.32,1432.32,36
Burundi,,1431.74,1431.74,52
Namibia,,1431.35,1431.35,71
Tonga,,1426.78,1426.78,11
Bulgaria,,1425.51,1425.51,83
Saint Helena,,1422.0,1422.0,8
Tuvalu,,1421.67,1421.67,14
Tibet,,1421.43,1421.43,10
Tanzania,,1420.5,1420.5,74
Liberia,,1419.76,1419.76,59
Yemen,,1419.74,1419.74,48
Kazakhstan,,1417.18,1417.18,82
Guinea-Bissau,,1416.34,1416.34,62
Lesotho,,1414.64,1414.64,69
Grenada,,1410.6,1410.6,57
Central African Republic,,1408.72,1408.72,53
Aruba,,1406.04,1406.04,39
Bangladesh,,1400.99,1400.99,71
India,,1399.57,1399.57,76
Dominica,,1399.33,1399.33,40
Bonaire,,1397.17,1397.17,31
Turks and Caicos Islands,,1395.88,1395.88,33
Congo,,1395.72,1395.72,42
Eswatini,,1391.43,1391.43,63
Luxembourg,,1386.61,1386.61,83
Cambodia,,1384.61,1384.61,60
American Samoa,,1383.32,1383.32,12
Somalia,,1383.22,1383.22,22
Faroe Islands,,1381.54,1381.54,81
Brunei,,1378.68,1378.68,32
Estonia,,1378.62,1378.62,93
Afghanistan,,1374.78,1374.78,41
Malta,,1371.03,1371.03,81
Azerbaijan,,1370.83,1370.83,85
Mauritius,,1369.81,1369.81,52
Cayman Islands,,1369.71,1369.71,38
Nepal,,1369.58,1369.58,66
Armenia,,1368.64,1368.64,81
South Sudan,,1368.49,1368.49,49
Pakistan,,1365.97,1365.97,32
Antigua and Barbuda,,1364.07,1364.07,44
Djibouti,,1361.78,1361.78,30
Myanmar,,1360.55,1360.55,68
Sri Lanka,,1360.29,1360.29,49
British Virgin Islands,,1359.31,1359.31,39
Cyprus,,1354.23,1354.23,82
Chad,,1353.85,1353.85,36
Barbados,,1352.77,1352.77,58
Guam,,1352.21,1352.21,26
United States Virgin Islands,,1349.28,1349.28,34
Taiwan,,1348.65,1348.65,46
Macau,,1346.05,1346.05,20
São Tomé and Príncipe,,1341.81,1341.81,31
Mongolia,,1340.52,1340.52,39
Maldives,,1339.59,1339.59,52
Latvia,,1338.31,1338.31,85
Laos,,1337.97,1337.97,41
Moldova,,1329.11,1329.11,88
Bhutan,,1326.37,1326.37,28
Timor-Leste,,1323.9,1323.9,34
Bahamas,,1306.87,1306.87,39
Lithuania,,1304.84,1304.84,87
Anguilla,,1297.76,1297.76,40
Gibraltar,,1285.16,1285.16,78
Seychelles,,1266.7,1266.7,50
Andorra,,1246.73,1246.73,84
Liechtenstein,,1172.34,1172.34,79
San Marino,,1147.76,1147.76,78
